,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
0,True,False,0.0,True,False,5849,0.0,128.0,360.0,1.0,True,0,0,1
1,True,True,1.0,True,False,4583,1508.0,128.0,360.0,1.0,False,1,0,0
2,True,True,0.0,True,True,3000,0.0,66.0,360.0,1.0,True,0,0,1
3,True,True,0.0,False,False,2583,2358.0,120.0,360.0,1.0,True,0,0,1
4,True,False,0.0,True,False,6000,0.0,141.0,360.0,1.0,True,0,0,1
5,True,True,2.0,True,True,5417,4196.0,267.0,360.0,1.0,True,0,0,1
6,True,True,0.0,False,False,2333,1516.0,95.0,360.0,1.0,True,0,0,1
7,True,True,3.0,True,False,3036,2504.0,158.0,360.0,0.0,False,0,1,0
8,True,True,2.0,True,False,4006,1526.0,168.0,360.0,1.0,True,0,0,1
9,True,True,1.0,True,False,12841,10968.0,349.0,360.0,1.0,False,0,1,0
10,True,True,2.0,True,False,3200,700.0,70.0,360.0,1.0,True,0,0,1
11,True,True,2.0,True,False,2500,1840.0,109.0,360.0,1.0,True,0,0,1
12,True,True,2.0,True,False,3073,8106.0,200.0,360.0,1.0,True,0,0,1
13,True,False,0.0,True,False,1853,2840.0,114.0,360.0,1.0,False,1,0,0
14,True,True,2.0,True,False,1299,1086.0,17.0,120.0,1.0,True,0,0,1
15,True,False,0.0,True,False,4950,0.0,125.0,360.0,1.0,True,0,0,1
16,True,False,1.0,False,False,3596,0.0,100.0,240.0,1.0,True,0,0,1
17,False,False,0.0,True,False,3510,0.0,76.0,360.0,0.0,False,0,0,1
18,True,True,0.0,False,False,4887,0.0,133.0,360.0,1.0,False,1,0,0
19,True,True,0.0,True,False,2600,3500.0,115.0,360.0,1.0,True,0,0,1
20,True,True,0.0,False,False,7660,0.0,104.0,360.0,0.0,False,0,0,1
21,True,True,1.0,True,False,5955,5625.0,315.0,360.0,1.0,True,0,0,1
22,True,True,0.0,False,False,2600,1911.0,116.0,360.0,0.0,False,0,1,0
23,True,True,2.0,False,False,3365,1917.0,112.0,360.0,0.0,False,1,0,0
24,True,True,1.0,True,False,3717,2925.0,151.0,360.0,1.0,False,0,1,0
25,True,True,0.0,True,True,9560,0.0,191.0,360.0,1.0,True,0,1,0
26,True,True,0.0,True,False,2799,2253.0,122.0,360.0,1.0,True,0,1,0
27,True,True,2.0,False,False,4226,1040.0,110.0,360.0,1.0,True,0,0,1
28,True,False,0.0,False,False,1442,0.0,35.0,360.0,1.0,False,0,0,1
29,False,False,2.0,True,False,3750,2083.0,120.0,360.0,1.0,True,0,1,0
30,True,True,1.0,True,False,4166,3369.0,201.0,360.0,1.0,False,0,0,1
31,True,False,0.0,True,False,3167,0.0,74.0,360.0,1.0,False,0,0,1
32,True,False,1.0,True,True,4692,0.0,106.0,360.0,1.0,False,1,0,0
33,True,True,0.0,True,False,3500,1667.0,114.0,360.0,1.0,True,0,1,0
34,True,False,3.0,True,False,12500,3000.0,320.0,360.0,1.0,False,1,0,0
35,True,True,0.0,True,False,2275,2067.0,128.0,360.0,1.0,True,0,0,1
36,True,True,0.0,True,False,1828,1330.0,100.0,360.0,0.0,False,0,0,1
37,False,True,0.0,True,False,3667,1459.0,144.0,360.0,1.0,True,0,1,0
38,True,False,0.0,True,False,4166,7210.0,184.0,360.0,1.0,True,0,0,1
39,True,False,0.0,False,False,3748,1668.0,110.0,360.0,1.0,True,0,1,0
40,True,False,0.0,True,False,3600,0.0,80.0,360.0,1.0,False,0,0,1
41,True,False,0.0,True,False,1800,1213.0,47.0,360.0,1.0,True,0,0,1
42,True,True,0.0,True,False,2400,0.0,75.0,360.0,1.0,True,0,0,1
43,True,True,0.0,True,False,3941,2336.0,134.0,360.0,1.0,True,0,1,0
44,True,True,0.0,False,True,4695,0.0,96.0,360.0,1.0,True,0,0,1
45,False,False,0.0,True,False,3410,0.0,88.0,360.0,1.0,True,0,0,1
46,True,True,1.0,True,False,5649,0.0,44.0,360.0,1.0,True,0,0,1
47,True,True,0.0,True,False,5821,0.0,144.0,360.0,1.0,True,0,0,1
48,False,True,0.0,True,False,2645,3440.0,120.0,360.0,0.0,False,0,0,1
49,False,False,0.0,True,False,4000,2275.0,144.0,360.0,1.0,True,0,1,0
50,False,True,0.0,False,False,1928,1644.0,100.0,360.0,1.0,True,0,1,0
51,False,False,0.0,True,False,3086,0.0,120.0,360.0,1.0,True,0,1,0
52,False,False,0.0,True,False,4230,0.0,112.0,360.0,1.0,False,0,1,0
53,True,True,2.0,True,False,4616,0.0,134.0,360.0,1.0,False,0,0,1
54,False,True,1.0,True,True,11500,0.0,286.0,360.0,0.0,False,0,0,1
55,True,True,2.0,True,False,2708,1167.0,97.0,360.0,1.0,True,0,1,0
56,True,True,0.0,True,False,2132,1591.0,96.0,360.0,1.0,True,0,1,0
57,True,True,0.0,True,False,3366,2200.0,135.0,360.0,1.0,False,1,0,0
58,True,True,1.0,True,False,8080,2250.0,180.0,360.0,1.0,True,0,0,1
59,True,True,2.0,False,False,3357,2859.0,144.0,360.0,1.0,True,0,0,1
60,True,True,0.0,True,False,2500,3796.0,120.0,360.0,1.0,True,0,0,1
